test_id,test_name,timestamp,iteration,prompt_length,prompt_tokens,prompt_complexity,max_tokens,actual_tokens,response_length,finish_reason,total_time_ms,network_time_ms,inference_time_ms,tokens_per_second,chars_per_second,ms_per_token,success,time_to_first_token_ms,prefill_time_ms,generation_time_per_token_ms,error,cold_start,batch_size
test_0012_1756415222,medium_116c_100t,2025-08-28T17:07:06.451950,1,116,21,medium,100,100,0,stop,4448.936223983765,155.28130531311035,4293.654918670654,23.290180951700865,0.0,42.93654918670654,True,34.05570983886719,34.05570983886719,43.02625463466452,,False,1
test_0013_1756415228,complex_406c_20t,2025-08-28T17:07:08.552244,1,406,78,complex,20,1,0,stop,99.78103637695312,57.53207206726074,42.24896430969238,23.669219265822072,0.0,42.24896430969238,True,42.02079772949219,42.02079772949219,0,,False,1
test_0014_1756415230,complex_406c_50t,2025-08-28T17:07:10.655702,1,406,78,complex,50,1,0,stop,98.15502166748047,57.08765983581543,41.06736183166504,24.35023715667435,0.0,41.06736183166504,True,40.82798957824707,40.82798957824707,0,,False,1
test_0015_1756415232,complex_406c_100t,2025-08-28T17:07:12.832278,1,406,78,complex,100,1,0,stop,171.27013206481934,61.995506286621094,109.27462577819824,9.151255315481606,0.0,109.27462577819824,True,108.97707939147949,108.97707939147949,0,,False,1
test_0016_1756415234,complex_1182c_20t,2025-08-28T17:07:15.964042,1,1182,204,complex,20,20,95,stop,1126.4986991882324,56.48612976074219,1070.0125694274902,18.691369215130802,88.78400377187131,53.50062847137451,True,145.0059413909912,145.0059413909912,48.68455937034205,,False,1
test_0017_1756415237,complex_1182c_50t,2025-08-28T17:07:20.584464,1,1182,204,complex,50,50,242,stop,2615.1349544525146,107.28907585144043,2507.845878601074,19.93742933991262,96.49715800517708,50.156917572021484,True,200.56414604187012,200.56414604187012,47.08738229712662,,False,1
test_0018_1756415242,complex_1182c_100t,2025-08-28T17:07:27.248062,1,1182,204,complex,100,100,481,stop,4658.2372188568115,57.65175819396973,4600.585460662842,21.736363959554016,104.55191064545481,46.00585460662842,True,99.52616691589355,99.52616691589355,45.46524539138331,,False,1
test_0019_1756415249,medium_61c_1t,2025-08-28T17:07:29.339382,1,61,11,medium,1,1,0,stop,90.14225006103516,56.282997131347656,33.8592529296875,29.534024335286166,0.0,33.8592529296875,True,33.64229202270508,33.64229202270508,0,,False,1
test_0020_1756415251,medium_61c_5t,2025-08-28T17:07:31.746255,1,61,11,medium,5,5,0,stop,406.32104873657227,166.4280891418457,239.89295959472656,20.842629181143806,0.0,47.97859191894531,True,33.13255310058594,33.13255310058594,51.690101623535156,,False,1
test_0021_1756415253,medium_61c_10t,2025-08-28T17:07:34.306876,1,61,11,medium,10,10,0,stop,559.9479675292969,125.55050849914551,434.39745903015137,23.020392481867404,0.0,43.43974590301514,True,33.21361541748047,33.21361541748047,44.5759826236301,,False,1
test_0022_1756415256,medium_61c_20t,2025-08-28T17:07:37.228733,1,61,11,medium,20,20,0,stop,916.4328575134277,60.988426208496094,855.4444313049316,23.37966005517289,0.0,42.77222156524658,True,34.73067283630371,34.73067283630371,43.19546097203305,,False,1
test_0023_1756415259,medium_61c_30t,2025-08-28T17:07:40.552651,1,61,11,medium,30,30,0,stop,1323.50492477417,83.64987373352051,1239.8550510406494,24.196376806159765,0.0,41.32850170135498,True,35.4771614074707,35.4771614074707,41.530272056316505,,False,1
test_0024_1756415262,medium_61c_50t,2025-08-28T17:07:44.853706,1,61,11,medium,50,50,0,stop,2295.6390380859375,87.01801300048828,2208.621025085449,22.638560183979752,0.0,44.172420501708984,True,33.43629837036133,33.43629837036133,44.39152503500179,,False,1
test_0025_1756415266,medium_61c_75t,2025-08-28T17:07:50.280848,1,61,11,medium,75,75,0,stop,3422.81174659729,179.69202995300293,3243.119716644287,23.12588080393277,0.0,43.24159622192383,True,34.711360931396484,34.711360931396484,43.35686967179582,,False,1
test_0026_1756415272,medium_61c_100t,2025-08-28T17:07:56.834040,1,61,11,medium,100,100,0,stop,4547.806978225708,157.17053413391113,4390.636444091797,22.77574134714882,0.0,43.90636444091797,True,33.678293228149414,33.678293228149414,44.00967829155199,,False,1
test_0027_1756415278,medium_61c_125t,2025-08-28T17:08:04.414267,1,61,11,medium,125,125,0,stop,5574.846982955933,131.84118270874023,5443.005800247192,22.965252029370088,0.0,43.54404640197754,True,38.041114807128906,38.041114807128906,43.58842488258116,,False,1
test_0028_1756415286,medium_61c_150t,2025-08-28T17:08:12.937612,1,61,11,medium,150,150,0,stop,6521.440029144287,60.48583984375,6460.954189300537,23.21638501142801,0.0,43.07302792867025,True,37.07385063171387,37.07385063171387,43.113290863549146,,False,1
test_0029_1756415294,medium_61c_175t,2025-08-28T17:08:22.639492,1,61,11,medium,175,175,0,stop,7696.497917175293,65.27161598205566,7631.226301193237,22.93209414752077,0.0,43.607007435389924,True,34.21211242675781,34.21211242675781,43.66100108486482,,False,1
test_0030_1756415304,medium_61c_200t,2025-08-28T17:08:33.495229,1,61,11,medium,200,200,0,stop,8850.381135940552,94.65622901916504,8755.724906921387,22.842197776439995,0.0,43.778624534606934,True,32.39893913269043,32.39893913269043,43.835808883360286,,False,1
test_0031_1756415315,simple_25c_20t,2025-08-28T17:08:36.463965,1,25,7,simple,20,20,0,stop,967.8232669830322,162.68682479858398,805.1364421844482,24.84051019444256,0.0,40.25682210922241,True,28.616666793823242,28.616666793823242,40.86946186266447,,True,1
test_0032_1756415316,simple_25c_20t,2025-08-28T17:08:37.385827,1,25,7,simple,20,20,0,stop,921.6320514678955,73.91238212585449,847.719669342041,23.592704903878225,0.0,42.38598346710205,True,27.116060256958008,27.116060256958008,43.189663636057,,False,1
test_0033_1756415318,simple_25c_20t,2025-08-28T17:08:39.331506,2,25,7,simple,20,20,0,stop,942.8601264953613,133.4514617919922,809.4086647033691,24.709396961211887,0.0,40.47043323516846,True,30.365705490112305,30.365705490112305,41.00226101122404,,False,1
test_0034_1756415320,simple_25c_20t,2025-08-28T17:08:41.278945,3,25,7,simple,20,20,0,stop,942.047119140625,111.76419258117676,830.2829265594482,24.08817447671315,0.0,41.51414632797241,True,28.579235076904297,28.579235076904297,42.19493113066021,,False,1
test_0035_1756415322,simple_25c_20t,2025-08-28T17:08:43.223177,4,25,7,simple,20,20,0,stop,941.5159225463867,115.203857421875,826.3120651245117,24.203930747382138,0.0,41.315603256225586,True,27.72378921508789,27.72378921508789,42.030961889969674,,False,1
test_0036_1756415324,simple_25c_20t,2025-08-28T17:08:45.168567,5,25,7,simple,20,20,0,stop,939.9511814117432,163.96093368530273,775.9902477264404,25.773519781463275,0.0,38.79951238632202,True,29.462099075317383,29.462099075317383,39.29095519216437,,False,1
test_0037_1756415326,simple_25c_20t,2025-08-28T17:08:47.051463,6,25,7,simple,20,20,0,stop,878.2780170440674,57.63363838195801,820.6443786621094,24.371092424474845,0.0,41.03221893310547,True,29.038429260253906,29.038429260253906,41.663471021150286,,False,1
test_0038_1756415328,simple_25c_20t,2025-08-28T17:08:48.961406,7,25,7,simple,20,20,0,stop,908.1451892852783,56.90431594848633,851.240873336792,23.495112401736183,0.0,42.5620436668396,True,28.95212173461914,28.95212173461914,43.27835534748278,,False,1
test_0039_1756415329,simple_25c_20t,2025-08-28T17:08:50.867898,8,25,7,simple,20,20,0,stop,905.8880805969238,62.27540969848633,843.6126708984375,23.707562356430987,0.0,42.180633544921875,True,26.348352432250977,26.348352432250977,43.013911498220345,,False,1
test_0040_1756415331,simple_25c_20t,2025-08-28T17:08:52.764724,9,25,7,simple,20,20,0,stop,891.4742469787598,63.898324966430664,827.5759220123291,24.166967003302982,0.0,41.378796100616455,True,29.683589935302734,29.683589935302734,41.994333267211914,,False,1
test_0041_1756415333,simple_25c_20t,2025-08-28T17:08:54.794401,10,25,7,simple,20,20,0,stop,1027.5959968566895,132.68184661865234,894.9141502380371,22.348512418403736,0.0,44.745707511901855,True,30.14540672302246,30.14540672302246,45.51414439552709,,False,1
test_0042_1756415335,simple_12c_50t,2025-08-28T17:08:58.041533,1,12,6,simple,50,50,0,stop,2241.7709827423096,77.09169387817383,2164.6792888641357,23.098109848058055,0.0,43.293585777282715,True,23.79155158996582,23.79155158996582,43.69158647498306,,False,1
test_0043_1756415340,simple_13c_50t,2025-08-28T17:09:02.372639,1,13,4,simple,50,50,0,stop,2325.645923614502,167.82140731811523,2157.8245162963867,23.171485735929178,0.0,43.156490325927734,True,16.2966251373291,16.2966251373291,43.704650839980765,,False,1
test_0044_1756415344,simple_30c_50t,2025-08-28T17:09:06.766351,1,30,7,simple,50,50,0,stop,2388.278007507324,60.22977828979492,2328.0482292175293,21.477218286326178,0.0,46.560964584350586,True,30.593395233154297,30.593395233154297,46.886833346619895,,False,1
test_0045_1756415348,simple_39c_50t,2025-08-28T17:09:11.075562,1,39,8,simple,50,50,0,stop,2307.5459003448486,155.3184986114502,2152.2274017333984,23.231745846061678,0.0,43.04454803466797,True,23.89073371887207,23.89073371887207,43.43544220437809,,False,1
test_0046_1756415353,simple_34c_50t,2025-08-28T17:09:15.273488,1,34,7,simple,50,50,0,stop,2192.5811767578125,56.58268928527832,2135.998487472534,23.408256276044263,0.0,42.719969749450684,True,24.2612361907959,24.2612361907959,43.0966785975865,,False,1
test_0047_1756415357,simple_22c_50t,2025-08-28T17:09:19.472901,1,22,5,simple,50,50,0,stop,2195.789098739624,73.9285945892334,2121.8605041503906,23.56422578308011,0.0,42.43721008300781,True,18.120527267456055,18.120527267456055,42.93346891597826,,False,1
test_0048_1756415361,medium_186c_50t,2025-08-28T17:09:23.726404,1,186,26,medium,50,50,0,stop,2248.0990886688232,59.88574028015137,2188.213348388672,22.8496915242832,0.0,43.76426696777344,True,33.247947692871094,33.247947692871094,43.97888572848573,,False,1
test_0049_1756415365,complex_237c_50t,2025-08-28T17:09:25.823692,1,237,29,complex,50,1,0,stop,91.96305274963379,59.363603591918945,32.599449157714844,30.675364947488518,0.0,32.599449157714844,True,32.36746788024902,32.36746788024902,0,,False,1
test_0050_1756415367,medium_199c_50t,2025-08-28T17:09:27.923694,1,199,30,medium,50,1,0,stop,94.93613243103027,59.30352210998535,35.63261032104492,28.06418028289641,0.0,35.63261032104492,True,35.4001522064209,35.4001522064209,0,,False,1
test_0051_1756415369,simple_37c_30t,2025-08-28T17:09:31.226151,1,37,9,simple,30,30,0,stop,1297.28102684021,57.55901336669922,1239.7220134735107,24.198973377866064,0.0,41.32406711578369,True,27.303218841552734,27.303218841552734,41.80754464248131,,False,1
test_0052_1756415369,simple_37c_30t,2025-08-28T17:09:32.580677,1,37,9,simple,30,30,0,stop,2650.9130001068115,1351.7463207244873,1299.1666793823242,23.0917252390303,0.0,43.305555979410805,True,25.417327880859375,25.417327880859375,43.922391431084996,,False,1
test_0054_1756415371,simple_37c_30t,2025-08-28T17:09:35.131751,1,37,9,simple,30,30,0,stop,3905.2562713623047,2596.3072776794434,1308.9489936828613,22.91915127692787,0.0,43.63163312276205,True,25.150060653686523,25.150060653686523,44.26892872514396,,False,1
test_0053_1756415369,simple_37c_30t,2025-08-28T17:09:35.132145,1,37,9,simple,30,30,0,stop,5202.156066894531,3909.139633178711,1293.0164337158203,23.201561262285868,0.0,43.100547790527344,True,25.3143310546875,25.3143310546875,43.71386560900458,,False,1
test_0055_1756415372,simple_37c_30t,2025-08-28T17:09:36.450060,1,37,9,simple,30,30,0,stop,3869.1070079803467,2551.7239570617676,1317.383050918579,22.77241989646195,0.0,43.91276836395264,True,25.8176326751709,25.8176326751709,44.53673856011753,,False,1
